+------------------+--------------------+--------------------------------+-----------+--------------------------------+
| Sprint Team Size |  Sprint Run Length |  Sprint Story Point Estimation |  Decision |          Description           |
|        36        |         7          |               3                |   False   | More than 1 parameter is false |
|        37        |         10         |               4                |   False   | More than 1 parameter is false |
|        38        |         3          |               3                |   False   | More than 1 parameter is false |
|        39        |         13         |               4                |   False   | More than 1 parameter is false |
|        40        |         11         |               4                |   False   | More than 1 parameter is false |
|        41        |         6          |               1                |   False   | More than 1 parameter is false |
|        42        |         10         |               3                |   False   | More than 1 parameter is false |
|        43        |         2          |               3                |   False   | More than 1 parameter is false |
|        44        |         7          |               4                |   False   | More than 1 parameter is false |
|        45        |         2          |               2                |   False   | More than 1 parameter is false |
|        46        |         11         |               2                |   False   | More than 1 parameter is false |
|        47        |         11         |               3                |   False   | More than 1 parameter is false |
|        48        |         10         |               2                |   False   | More than 1 parameter is false |
|        49        |         5          |               2                |   False   | More than 1 parameter is false |
|        50        |         5          |               3                |   False   | More than 1 parameter is false |
|        51        |         7          |               4                |   False   | More than 1 parameter is false |
|        52        |         4          |               4                |   False   | More than 1 parameter is false |
|        53        |         5          |               2                |   False   | More than 1 parameter is false |
|        54        |         10         |               1                |   False   | More than 1 parameter is false |
|        55        |         8          |               1                |   False   | More than 1 parameter is false |
|        56        |         11         |               4                |   False   | More than 1 parameter is false |
|        57        |         8          |               4                |   False   | More than 1 parameter is false |
|        58        |         6          |               1                |   False   | More than 1 parameter is false |
|        59        |         13         |               4                |   False   | More than 1 parameter is false |
|        60        |         8          |               1                |   False   | More than 1 parameter is false |
|        61        |         4          |               3                |   False   | More than 1 parameter is false |
|        62        |         9          |               2                |   False   | More than 1 parameter is false |
|        63        |         10         |               4                |   False   | More than 1 parameter is false |
|        64        |         2          |               3                |   False   | More than 1 parameter is false |
|        65        |         15         |               4                |   False   | More than 1 parameter is false |
|        66        |         13         |               3                |   False   | More than 1 parameter is false |
|        67        |         10         |               2                |   False   | More than 1 parameter is false |
|        68        |         2          |               1                |   False   | More than 1 parameter is false |
|        69        |         14         |               1                |   False   | More than 1 parameter is false |
|        70        |         5          |               2                |   False   | More than 1 parameter is false |
|        71        |         2          |               1                |   False   | More than 1 parameter is false |
|        72        |         7          |               4                |   False   | More than 1 parameter is false |
|        73        |         7          |               1                |   False   | More than 1 parameter is false |
|        74        |         10         |               2                |   False   | More than 1 parameter is false |
|        75        |         10         |               2                |   False   | More than 1 parameter is false |
|        76        |         10         |               4                |   False   | More than 1 parameter is false |
|        77        |         14         |               1                |   False   | More than 1 parameter is false |
|        78        |         2          |               2                |   False   | More than 1 parameter is false |
|        79        |         3          |               4                |   False   | More than 1 parameter is false |
|        80        |         12         |               2                |   False   | More than 1 parameter is false |
|        81        |         8          |               3                |   False   | More than 1 parameter is false |
|        82        |         13         |               2                |   False   | More than 1 parameter is false |
|        83        |         14         |               3                |   False   | More than 1 parameter is false |
|        84        |         7          |               4                |   False   | More than 1 parameter is false |
|        85        |         3          |               2                |   False   | More than 1 parameter is false |
|        86        |         8          |               1                |   False   | More than 1 parameter is false |
|        87        |         7          |               2                |   False   | More than 1 parameter is false |
|        88        |         8          |               3                |   False   | More than 1 parameter is false |
|        89        |         10         |               4                |   False   | More than 1 parameter is false |
|        90        |         13         |               4                |   False   | More than 1 parameter is false |
|        91        |         13         |               1                |   False   | More than 1 parameter is false |
|        92        |         11         |               1                |   False   | More than 1 parameter is false |
|        93        |         11         |               4                |   False   | More than 1 parameter is false |
|        94        |         7          |               3                |   False   | More than 1 parameter is false |
|        95        |         12         |               2                |   False   | More than 1 parameter is false |
|        96        |         13         |               3                |   False   | More than 1 parameter is false |
|        97        |         8          |               4                |   False   | More than 1 parameter is false |
|        98        |         3          |               3                |   False   | More than 1 parameter is false |
|        99        |         12         |               2                |   False   | More than 1 parameter is false |
|       100        |         13         |               4                |   False   | More than 1 parameter is false |
+------------------+--------------------+--------------------------------+-----------+--------------------------------+
